extraction_time,video_id,title,publish_date,view_count,like_count,comment_count
2025-10-05 21:33:18,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,5815,496,40
2025-10-05 21:33:18,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,5815,496,40
2025-10-05 22:00:04,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,7142,551,42
2025-10-05 23:00:10,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,10297,657,45
2025-10-06 00:00:06,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,13160,769,48
2025-10-06 01:08:01,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,16391,875,52
2025-10-06 02:00:04,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,19476,978,54
2025-10-06 02:46:36,O8NLNYuw450,Luh Tyler Disses Nick Cannon With A Jingle 🤣 Wild 'N Out,2025-10-02T20:00:31Z,68294,2416,87
2025-10-06 02:46:39,SdbOJzQNRcY,Breez Kenney Joins the New School 📚 Wild 'N Out,2025-09-30T21:00:29Z,33289,705,36
2025-10-06 02:46:41,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,22130,1064,57
2025-10-06 02:46:42,KMzMrV8vkxs,That's why we love her 🤣 #WildNOut,2025-10-02T20:00:25Z,82569,3611,50
2025-10-06 02:46:45,vRZ67-JxmQ8,She tried 🤣 #WildNOut,2025-09-30T20:00:53Z,46346,1414,23
2025-10-06 02:46:46,5xAAmui1K88,Season 21’s Must-See Moments (So Far!) 👏 Wild 'N Out,2025-09-28T16:00:10Z,239643,3184,109
2025-10-06 02:46:49,tqTjUJDItIQ,Wild ’N Out’s Best Teams 🤝 SUPER COMPILATION,2025-09-30T20:00:45Z,62380,1095,28
2025-10-06 03:00:05,O8NLNYuw450,Luh Tyler Disses Nick Cannon With A Jingle 🤣 Wild 'N Out,2025-10-02T20:00:31Z,68630,2427,87
2025-10-06 03:00:06,SdbOJzQNRcY,Breez Kenney Joins the New School 📚 Wild 'N Out,2025-09-30T21:00:29Z,33301,706,36
2025-10-06 03:00:08,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,23509,1087,57
2025-10-06 03:00:10,KMzMrV8vkxs,That's why we love her 🤣 #WildNOut,2025-10-02T20:00:25Z,82670,3613,50
2025-10-06 03:00:11,vRZ67-JxmQ8,She tried 🤣 #WildNOut,2025-09-30T20:00:53Z,46378,1415,23
2025-10-06 03:00:13,5xAAmui1K88,Season 21’s Must-See Moments (So Far!) 👏 Wild 'N Out,2025-09-28T16:00:10Z,239899,3189,109
2025-10-06 03:00:14,tqTjUJDItIQ,Wild ’N Out’s Best Teams 🤝 SUPER COMPILATION,2025-09-30T20:00:45Z,62423,1097,28
2025-10-06 04:00:04,KMzMrV8vkxs,That's why we love her 🤣 #WildNOut,2025-10-02T20:00:25Z,82971,3630,50
2025-10-06 04:00:04,O8NLNYuw450,Luh Tyler Disses Nick Cannon With A Jingle 🤣 Wild 'N Out,2025-10-02T20:00:31Z,69589,2460,88
2025-10-06 04:00:05,vRZ67-JxmQ8,She tried 🤣 #WildNOut,2025-09-30T20:00:53Z,46487,1422,23
2025-10-06 04:00:05,SdbOJzQNRcY,Breez Kenney Joins the New School 📚 Wild 'N Out,2025-09-30T21:00:29Z,33313,706,36
2025-10-06 04:00:06,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,27735,1192,57
2025-10-06 04:00:07,5xAAmui1K88,Season 21’s Must-See Moments (So Far!) 👏 Wild 'N Out,2025-09-28T16:00:10Z,240757,3192,109
2025-10-06 04:00:07,tqTjUJDItIQ,Wild ’N Out’s Best Teams 🤝 SUPER COMPILATION,2025-09-30T20:00:45Z,62643,1104,28
2025-10-06 05:00:02,KMzMrV8vkxs,That's why we love her 🤣 #WildNOut,2025-10-02T20:00:25Z,83242,3647,50
2025-10-06 05:00:03,O8NLNYuw450,Luh Tyler Disses Nick Cannon With A Jingle 🤣 Wild 'N Out,2025-10-02T20:00:31Z,70420,2485,88
2025-10-06 05:00:05,SdbOJzQNRcY,Breez Kenney Joins the New School 📚 Wild 'N Out,2025-09-30T21:00:29Z,33380,707,36
2025-10-06 05:00:07,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,31866,1314,57
2025-10-06 05:00:07,vRZ67-JxmQ8,She tried 🤣 #WildNOut,2025-09-30T20:00:53Z,46587,1425,23
2025-10-06 05:00:07,5xAAmui1K88,Season 21’s Must-See Moments (So Far!) 👏 Wild 'N Out,2025-09-28T16:00:10Z,241736,3202,109
2025-10-06 05:00:09,tqTjUJDItIQ,Wild ’N Out’s Best Teams 🤝 SUPER COMPILATION,2025-09-30T20:00:45Z,62860,1106,28
2025-10-06 09:09:02,KMzMrV8vkxs,That's why we love her 🤣 #WildNOut,2025-10-02T20:00:25Z,84713,3686,51
2025-10-06 09:15:48,O8NLNYuw450,Luh Tyler Disses Nick Cannon With A Jingle 🤣 Wild 'N Out,2025-10-02T20:00:31Z,74087,2592,90
2025-10-06 09:22:33,SdbOJzQNRcY,Breez Kenney Joins the New School 📚 Wild 'N Out,2025-09-30T21:00:29Z,33466,710,36
2025-10-06 09:29:19,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,50814,1602,63
2025-10-06 09:33:50,5xAAmui1K88,Season 21’s Must-See Moments (So Far!) 👏 Wild 'N Out,2025-09-28T16:00:10Z,245862,3234,109
2025-10-06 09:42:50,tqTjUJDItIQ,Wild ’N Out’s Best Teams 🤝 SUPER COMPILATION,2025-09-30T20:00:45Z,63954,1115,28
2025-10-06 09:59:34,KMzMrV8vkxs,That's why we love her 🤣 #WildNOut,2025-10-02T20:00:25Z,84879,3692,51
2025-10-06 10:06:19,O8NLNYuw450,Luh Tyler Disses Nick Cannon With A Jingle 🤣 Wild 'N Out,2025-10-02T20:00:31Z,74548,2608,90
2025-10-06 10:15:20,SdbOJzQNRcY,Breez Kenney Joins the New School 📚 Wild 'N Out,2025-09-30T21:00:29Z,33609,711,36
2025-10-06 10:15:49,KMzMrV8vkxs,That's why we love her 🤣 #WildNOut,2025-10-02T20:00:25Z,84920,3693,51
2025-10-06 10:20:19,O8NLNYuw450,Luh Tyler Disses Nick Cannon With A Jingle 🤣 Wild 'N Out,2025-10-02T20:00:31Z,74650,2610,91
2025-10-06 10:22:06,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,53063,1625,65
2025-10-06 10:27:13,SdbOJzQNRcY,Breez Kenney Joins the New School 📚 Wild 'N Out,2025-09-30T21:00:29Z,33613,711,36
2025-10-06 10:28:51,5xAAmui1K88,Season 21’s Must-See Moments (So Far!) 👏 Wild 'N Out,2025-09-28T16:00:10Z,246411,3236,109
2025-10-06 10:33:21,tqTjUJDItIQ,Wild ’N Out’s Best Teams 🤝 SUPER COMPILATION,2025-09-30T20:00:45Z,64116,1117,28
2025-10-06 10:33:58,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,53554,1634,65
2025-10-06 10:42:59,5xAAmui1K88,Season 21’s Must-See Moments (So Far!) 👏 Wild 'N Out,2025-09-28T16:00:10Z,246526,3236,109
2025-10-06 10:52:00,tqTjUJDItIQ,Wild ’N Out’s Best Teams 🤝 SUPER COMPILATION,2025-09-30T20:00:45Z,64169,1118,28
2025-10-06 11:38:54,KMzMrV8vkxs,That's why we love her 🤣 #WildNOut,2025-10-02T20:00:25Z,85176,3703,51
2025-10-06 11:39:02,KMzMrV8vkxs,That's why we love her 🤣 #WildNOut,2025-10-02T20:00:25Z,85176,3703,51
2025-10-06 11:45:39,O8NLNYuw450,Luh Tyler Disses Nick Cannon With A Jingle 🤣 Wild 'N Out,2025-10-02T20:00:31Z,75277,2627,91
2025-10-06 11:45:47,O8NLNYuw450,Luh Tyler Disses Nick Cannon With A Jingle 🤣 Wild 'N Out,2025-10-02T20:00:31Z,75277,2627,91
2025-10-06 11:52:25,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,55924,1670,65
2025-10-06 11:52:33,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,55924,1670,65
2025-10-06 11:56:55,SdbOJzQNRcY,Breez Kenney Joins the New School 📚 Wild 'N Out,2025-09-30T21:00:29Z,33658,713,36
2025-10-06 11:57:03,SdbOJzQNRcY,Breez Kenney Joins the New School 📚 Wild 'N Out,2025-09-30T21:00:29Z,33658,713,36
2025-10-06 12:03:40,5xAAmui1K88,Season 21’s Must-See Moments (So Far!) 👏 Wild 'N Out,2025-09-28T16:00:10Z,246999,3238,109
2025-10-06 12:03:49,5xAAmui1K88,Season 21’s Must-See Moments (So Far!) 👏 Wild 'N Out,2025-09-28T16:00:10Z,246999,3238,109
2025-10-06 12:08:11,tqTjUJDItIQ,Wild ’N Out’s Best Teams 🤝 SUPER COMPILATION,2025-09-30T20:00:45Z,64381,1121,28
2025-10-06 12:08:19,tqTjUJDItIQ,Wild ’N Out’s Best Teams 🤝 SUPER COMPILATION,2025-09-30T20:00:45Z,64381,1121,28
2025-10-06 12:11:19,KMzMrV8vkxs,That's why we love her 🤣 #WildNOut,2025-10-02T20:00:25Z,85286,3707,51
2025-10-06 12:18:05,O8NLNYuw450,Luh Tyler Disses Nick Cannon With A Jingle 🤣 Wild 'N Out,2025-10-02T20:00:31Z,75497,2633,91
2025-10-06 12:24:50,k64goYZL69E,Cast Members With No Loyalty To Their Teams 😵 🔪 Wild 'N Out,2025-10-05T16:01:14Z,56843,1681,66
2025-10-06 12:29:20,SdbOJzQNRcY,Breez Kenney Joins the New School 📚 Wild 'N Out,2025-09-30T21:00:29Z,33669,714,36
2025-10-06 12:49:38,KMzMrV8vkxs,That's why we love her 🤣 #WildNOut,2025-10-02T20:00:25Z,85356,3710,51
2025-10-06 12:50:15,dDIlZcJFRxg,“And IIIIIIIII” comment if you sang along 😂 #WildNOut,2024-05-09T16:00:23Z,4111153,278594,1516
2025-10-06 12:54:17,O8NLNYuw450,Luh Tyler Disses Nick Cannon With A Jingle 🤣 Wild 'N Out,2025-10-02T20:00:31Z,75678,2637,91
2025-10-06 12:54:45,NJoeDA28cQ4,We're still not over this ICONIC DUO 🚨😭 #WildNOut #Shorts,2023-02-04T14:45:02Z,56262572,3671480,11829
